name,ingredients,instructions,prep_time,cook_time,servings,tags,vegetarian,vegan,gluten-free
Chicken Stir Fry,"chicken,broccoli,bell pepper,soy sauce,garlic,ginger,rice","1. Cook rice according to package. 2. Cut chicken into cubes. 3. Stir fry chicken in hot oil. 4. Add vegetables and cook 5 min. 5. Add soy sauce, garlic, ginger. 6. Serve over rice.",15,20,4,"asian,quick,high-protein",FALSE,FALSE,TRUE
Vegetarian Pasta Primavera,"pasta,tomatoes,zucchini,bell pepper,garlic,olive oil,basil,parmesan","1. Cook pasta al dente. 2. Sauté vegetables in olive oil. 3. Add garlic and cook 1 min. 4. Toss with pasta. 5. Top with basil and parmesan.",10,15,4,"italian,vegetarian,quick",TRUE,FALSE,FALSE
Grilled Salmon with Vegetables,"salmon,asparagus,lemon,olive oil,garlic,salt,pepper","1. Season salmon with salt, pepper, lemon. 2. Grill 6-8 min per side. 3. Toss asparagus with olive oil and garlic. 4. Grill vegetables 10 min. 5. Serve together.",10,20,2,"seafood,healthy,low-carb,high-protein",FALSE,FALSE,TRUE
Thai Green Curry,"chicken,coconut milk,green curry paste,bamboo shoots,bell pepper,basil,rice","1. Cook rice. 2. Sauté curry paste in pan. 3. Add coconut milk and bring to simmer. 4. Add chicken and vegetables. 5. Cook 15 min. 6. Serve over rice with basil.",15,25,4,"thai,spicy,comfort-food",FALSE,FALSE,TRUE
Quinoa Buddha Bowl,"quinoa,chickpeas,avocado,kale,sweet potato,tahini,lemon","1. Cook quinoa. 2. Roast sweet potato cubes at 400°F for 25 min. 3. Massage kale with lemon. 4. Assemble bowl with quinoa, chickpeas, sweet potato, kale, avocado. 5. Drizzle tahini dressing.",15,30,2,"vegan,healthy,bowl,high-fiber",TRUE,TRUE,TRUE
Beef Tacos,"beef,tortillas,lettuce,tomatoes,cheese,sour cream,onion,cilantro","1. Brown ground beef. 2. Season with taco seasoning. 3. Warm tortillas. 4. Assemble tacos with beef and toppings.",10,15,4,"mexican,quick,family-friendly",FALSE,FALSE,FALSE
Mushroom Risotto,"rice,mushrooms,onion,garlic,vegetable broth,white wine,parmesan,butter","1. Sauté onion and garlic. 2. Add rice and toast 2 min. 3. Add wine and stir until absorbed. 4. Gradually add broth, stirring constantly. 5. Add mushrooms halfway through. 6. Finish with butter and parmesan.",10,35,4,"italian,comfort-food,vegetarian",TRUE,FALSE,TRUE
Lentil Soup,"lentils,carrots,celery,onion,garlic,tomatoes,vegetable broth,cumin,turmeric","1. Sauté onion, carrots, celery. 2. Add garlic and spices. 3. Add lentils, tomatoes, broth. 4. Simmer 30 min until lentils tender. 5. Season to taste.",15,35,6,"soup,vegan,healthy,budget-friendly,high-fiber",TRUE,TRUE,TRUE
Greek Chicken Bowl,"chicken,rice,cucumber,tomatoes,feta,olives,tzatziki,lemon","1. Cook rice. 2. Grill seasoned chicken. 3. Dice vegetables. 4. Assemble bowl with rice, chicken, vegetables, feta, olives. 5. Top with tzatziki.",15,20,2,"greek,bowl,high-protein,mediterranean",FALSE,FALSE,TRUE
Veggie Burger,"black beans,quinoa,onion,garlic,cumin,bread crumbs,egg,lettuce,tomato,bun","1. Mash black beans. 2. Mix with cooked quinoa, onion, garlic, cumin, bread crumbs, egg. 3. Form patties. 4. Pan fry 5 min per side. 5. Serve on bun with toppings.",20,15,4,"vegetarian,burger,family-friendly",TRUE,FALSE,FALSE
Shrimp Scampi,"shrimp,pasta,garlic,butter,white wine,lemon,parsley","1. Cook pasta. 2. Sauté garlic in butter. 3. Add shrimp and cook until pink. 4. Add wine and lemon. 5. Toss with pasta and parsley.",10,15,4,"seafood,italian,quick,elegant",FALSE,FALSE,FALSE
Chicken Caesar Salad,"chicken,romaine lettuce,parmesan,croutons,caesar dressing,lemon","1. Grill chicken breast. 2. Chop romaine lettuce. 3. Toss lettuce with dressing. 4. Top with sliced chicken, parmesan, croutons.",15,10,2,"salad,quick,high-protein",FALSE,FALSE,FALSE
Sweet Potato Curry,"sweet potato,coconut milk,curry powder,onion,garlic,ginger,chickpeas,spinach,rice","1. Cook rice. 2. Sauté onion, garlic, ginger. 3. Add curry powder. 4. Add sweet potato cubes and coconut milk. 5. Simmer 20 min. 6. Add chickpeas and spinach. 7. Serve over rice.",15,30,4,"vegan,curry,comfort-food,healthy",TRUE,TRUE,TRUE
Pork Chops with Apples,"pork chops,apples,onion,thyme,chicken broth,butter","1. Season pork chops. 2. Sear in hot pan 4 min per side. 3. Remove and set aside. 4. Sauté onion and apples. 5. Add broth and thyme. 6. Return pork to pan and simmer 10 min.",10,25,4,"comfort-food,autumn,gluten-free",FALSE,FALSE,TRUE
Eggplant Parmesan,"eggplant,marinara sauce,mozzarella,parmesan,basil,bread crumbs,egg","1. Slice eggplant and salt to remove moisture. 2. Dip in egg, then bread crumbs. 3. Fry until golden. 4. Layer in baking dish with marinara and cheese. 5. Bake at 375°F for 30 min.",25,35,4,"italian,vegetarian,comfort-food",TRUE,FALSE,FALSE
Teriyaki Chicken,"chicken,soy sauce,honey,garlic,ginger,rice,broccoli,sesame seeds","1. Cook rice. 2. Mix soy sauce, honey, garlic, ginger for teriyaki sauce. 3. Cook chicken in pan. 4. Add sauce and simmer. 5. Steam broccoli. 6. Serve chicken over rice with broccoli and sesame seeds.",10,20,4,"asian,sweet-savory,quick",FALSE,FALSE,TRUE
Falafel Wrap,"chickpeas,onion,garlic,cumin,coriander,parsley,pita,tahini,lettuce,tomato,cucumber","1. Blend chickpeas, onion, garlic, spices. 2. Form into balls. 3. Fry until golden. 4. Warm pita. 5. Fill with falafel, vegetables, tahini sauce.",20,15,4,"mediterranean,vegetarian,handheld",TRUE,FALSE,FALSE
Beef Stew,"beef,potatoes,carrots,celery,onion,garlic,beef broth,tomato paste,thyme","1. Brown beef chunks. 2. Add vegetables and sauté. 3. Add broth, tomato paste, thyme. 4. Simmer 2 hours until beef tender. 5. Season to taste.",20,120,6,"comfort-food,stew,slow-cook",FALSE,FALSE,TRUE
Caprese Salad,"tomatoes,mozzarella,basil,olive oil,balsamic vinegar,salt,pepper","1. Slice tomatoes and mozzarella. 2. Arrange alternating on plate. 3. Add basil leaves. 4. Drizzle with olive oil and balsamic. 5. Season with salt and pepper.",10,0,2,"italian,salad,quick,vegetarian,no-cook",TRUE,FALSE,TRUE
Chicken Fried Rice,"rice,chicken,egg,peas,carrots,soy sauce,garlic,ginger,green onion","1. Cook rice and cool. 2. Scramble egg and set aside. 3. Cook chicken. 4. Add vegetables. 5. Add rice and soy sauce. 6. Mix in egg and green onion.",15,15,4,"asian,quick,leftover-friendly",FALSE,FALSE,TRUE
